Case,Activity,Timestamp,Resource,label,original_activity,isdistorted,BaseActivity,ProcessedActivity,canonical_activity,is_distorted,y_true,Activity_fixed
1156,check for completeness,2023-12-05 21:06:14.448,Clerk-000005,distorted label(UpLow),check for completeness,0,check for completeness,check for completeness,Check for completeness,1,1,Check for completeness
1156,Make decisin,2023-12-05 21:15:35.441,Manager-000001,distorted label(Skip),Make decisin,0,Make decisin,make decisin,Make decision,1,1,Make decision
116,WVENT 13 END,2023-10-05 08:06:21.864,,distorted label(Proximity),WVENT 13 END,0,WVENT 13 END,wvent 13 end,EVENT 13 END,1,1,EVENT 13 END
1167,Check for completreness,2023-12-06 07:06:26.632,Clerk-000006,distorted label(Insert),Check for completreness,0,Check for completreness,check for completreness,Check for completeness,1,1,Check for completeness
1167,Make Wdecision,2023-12-06 08:08:44.327,Manager-000003,distorted label(Insert),Make Wdecision,0,Make Wdecision,make wdecision,Make decision,1,1,Make decision
1168,Check for copleteness,2023-12-06 11:06:57.751,Clerk-000004,distorted label(Skip),Check for copleteness,0,Check for copleteness,check for copleteness,Check for completeness,1,1,Check for completeness
1170,Notnify accept,2023-12-06 13:17:39.478,Manager-000003,distorted label(Insert),Notnify accept,0,Notnify accept,notnify accept,Notify accept,1,1,Notify accept
118,make decision,2023-10-05 10:43:07.795,Manager-000001,distorted label(UpLow),make decision,0,make decision,make decision,Make decision,1,1,Make decision
1190,Request ifo,2023-12-07 14:00:39.327,Manager-000003,distorted label(Skip),Request ifo,0,Request ifo,request ifo,Request info,1,1,Request info
1203,Lerform checks,2023-12-08 04:10:50.406,Clerk-000006,distorted label(Proximity),Lerform checks,0,Lerform checks,lerform checks,Perform checks,1,1,Perform checks
1203,request info,2023-12-08 05:05:17.962,Manager-000001,distorted label(UpLow),request info,0,request info,request info,Request info,1,1,Request info
1207,Check foKr completeness,2023-12-08 09:35:33.964,Clerk-000004,distorted label(Insert),Check foKr completeness,0,Check foKr completeness,check fokr completeness,Check for completeness,1,1,Check for completeness
121,EVDNT 13 END,2023-10-05 13:22:21.126,,distorted label(Proximity),EVDNT 13 END,0,EVDNT 13 END,evdnt 13 end,EVENT 13 END,1,1,EVENT 13 END
1221,check for completeness,2023-12-11 02:15:41.002,Clerk-000004,distorted label(UpLow),check for completeness,0,check for completeness,check for completeness,Check for completeness,1,1,Check for completeness
1225,info erceived,2023-12-11 01:10:00.002,,distorted label(Interchange),info erceived,0,info erceived,info erceived,info received,1,1,info received
1227,Requesti nfo,2023-12-11 04:46:09.410,Manager-000004,distorted label(Interchange),Requesti nfo,0,Requesti nfo,requesti nfo,Request info,1,1,Request info
123,Notify accpt,2023-10-05 14:28:44.759,Manager-000001,distorted label(Skip),Notify accpt,0,Notify accpt,notify accpt,Notify accept,1,1,Notify accept
1233,Dellver card,2023-12-11 13:31:59.773,Manager-000005,distorted label(Proximity),Dellver card,0,Dellver card,dellver card,Deliver card,1,1,Deliver card
1237,EVENT1 3 END,2023-12-11 14:14:37.140,,distorted label(Interchange),EVENT1 3 END,0,EVENT1 3 END,event1 3 end,EVENT 13 END,1,1,EVENT 13 END
1239,Check for compelteness,2023-12-11 13:21:33.179,Clerk-000006,distorted label(Interchange),Check for compelteness,0,Check for compelteness,check for compelteness,Check for completeness,1,1,Check for completeness
1239,New online applciation received,2023-12-11 13:21:33.179,,distorted label(Interchange),New online applciation received,0,New online applciation received,new online applciation received,New online application received,1,1,New online application received
1250,new online application received,2023-12-12 04:49:45.062,,distorted label(UpLow),new online application received,0,new online application received,new online application received,New online application received,1,1,New online application received
126,EVENT 13 EXND,2023-10-05 19:25:28.888,,distorted label(Insert),EVENT 13 EXND,0,EVENT 13 EXND,event 13 exnd,EVENT 13 END,1,1,EVENT 13 END
1260,Perfomr checks,2023-12-12 15:04:55.760,Clerk-000003,distorted label(Interchange),Perfomr checks,0,Perfomr checks,perfomr checks,Perform checks,1,1,Perform checks
1273,botify reject,2023-12-13 05:48:59.150,Manager-000005,distorted label(Proximity),botify reject,0,botify reject,botify reject,notify reject,1,1,notify reject
1274,tims out,2023-12-13 07:01:55.154,,distorted label(Proximity),tims out,0,tims out,tims out,tims out,0,1,tims out
1276,Performc hecks,2023-12-13 07:07:51.879,Clerk-000004,distorted label(Interchange),Performc hecks,0,Performc hecks,performc hecks,Performc hecks,0,1,Performc hecks
1279,EVET 13 END,2023-12-13 11:54:33.418,,distorted label(Skip),EVET 13 END,0,EVET 13 END,evet 13 end,EVENT 13 END,1,1,EVENT 13 END
1286,Notifay accept,2023-12-13 16:32:35.077,Manager-000002,distorted label(Insert),Notifay accept,0,Notifay accept,notifay accept,Notify accept,1,1,Notify accept
1286,Deliver cad,2023-12-13 16:49:48.668,Manager-000001,distorted label(Skip),Deliver cad,0,Deliver cad,deliver cad,Deliver card,1,1,Deliver card
13,Check forcompleteness,2023-09-29 18:38:09.483,Clerk-000004,distorted label(Skip),Check forcompleteness,0,Check forcompleteness,check forcompleteness,Check for completeness,1,1,Check for completeness
13,Check for completenes,2023-09-29 21:03:16.372,Clerk-000006,distorted label(Skip),Check for completenes,0,Check for completenes,check for completenes,Check for completeness,1,1,Check for completeness
13,Perfor mchecks,2023-09-29 21:20:39.128,Clerk-000003,distorted label(Interchange),Perfor mchecks,0,Perfor mchecks,perfor mchecks,Perform checks,1,1,Perform checks
1302,Jew online application received,2023-12-14 10:14:55.369,,distorted label(Proximity),Jew online application received,0,Jew online application received,jew online application received,New online application received,1,1,New online application received
1303,rview request received,2023-12-14 11:48:05.800,,distorted label(Skip),rview request received,0,rview request received,rview request received,review request received,1,1,review request received
1303,EVET 13 END,2023-12-14 13:22:15.012,,distorted label(Skip),EVET 13 END,0,EVET 13 END,evet 13 end,EVENT 13 END,1,1,EVENT 13 END
1305,Check Dfor completeness,2023-12-14 12:16:28.725,Clerk-000002,distorted label(Insert),Check Dfor completeness,0,Check Dfor completeness,check dfor completeness,Check for completeness,1,1,Check for completeness
1305,notify accept,2023-12-14 12:29:55.118,Manager-000004,distorted label(UpLow),notify accept,0,notify accept,notify accept,Notify accept,1,1,Notify accept
1305,Deliver cwrd,2023-12-14 12:37:06.265,Manager-000002,distorted label(Proximity),Deliver cwrd,0,Deliver cwrd,deliver cwrd,Deliver card,1,1,Deliver card
1315,review request rsceived,2023-12-14 18:47:26.991,,distorted label(Proximity),review request rsceived,0,review request rsceived,review request rsceived,review request received,1,1,review request received
1315,PerfoWrm checks,2023-12-14 18:57:30.468,Clerk-000005,distorted label(Insert),PerfoWrm checks,0,PerfoWrm checks,perfowrm checks,Perform checks,1,1,Perform checks
1319,EVENT 13I END,2023-12-14 22:12:00.472,,distorted label(Insert),EVENT 13I END,0,EVENT 13I END,event 13i end,EVENT 13 END,1,1,EVENT 13 END
1325,Make decisuon,2023-12-15 02:10:14.981,Manager-000004,distorted label(Proximity),Make decisuon,0,Make decisuon,make decisuon,Make decision,1,1,Make decision
1332,EVEWNT 13 END,2023-12-15 07:13:56.668,,distorted label(Insert),EVEWNT 13 END,0,EVEWNT 13 END,evewnt 13 end,EVENT 13 END,1,1,EVENT 13 END
1334,ihfo received,2023-12-15 09:07:30.667,,distorted label(Proximity),ihfo received,0,ihfo received,ihfo received,info received,1,1,info received
1337,otify accept,2023-12-15 12:04:34.602,Manager-000001,distorted label(Skip),otify accept,0,otify accept,otify accept,Notify accept,1,1,Notify accept
1341,Make decisiin,2023-12-15 11:29:35.148,Manager-000001,distorted label(Proximity),Make decisiin,0,Make decisiin,make decisiin,Make decision,1,1,Make decision
1346,Chevk for completeness,2023-12-15 14:08:08.878,Clerk-000001,distorted label(Proximity),Chevk for completeness,0,Chevk for completeness,chevk for completeness,Check for completeness,1,1,Check for completeness
1350,Check ofr completeness,2023-12-15 15:57:51.370,Clerk-000005,distorted label(Interchange),Check ofr completeness,0,Check ofr completeness,check ofr completeness,Check for completeness,1,1,Check for completeness
1351,Check for completeess,2023-12-15 15:35:57.337,Clerk-000002,distorted label(Skip),Check for completeess,0,Check for completeess,check for completeess,Check for completeness,1,1,Check for completeness
1351,Deliver ard,2023-12-15 17:41:59.856,Manager-000005,distorted label(Skip),Deliver ard,0,Deliver ard,deliver ard,Deliver card,1,1,Deliver card
1368,make decision,2023-12-18 08:40:01.040,Manager-000006,distorted label(UpLow),make decision,0,make decision,make decision,Make decision,1,1,Make decision
1376,Uinfo received,2023-12-19 00:17:13.809,,distorted label(Insert),Uinfo received,0,Uinfo received,uinfo received,info received,1,1,info received
1376,check for completeness,2023-12-19 00:17:23.809,Clerk-000006,distorted label(UpLow),check for completeness,0,check for completeness,check for completeness,Check for completeness,1,1,Check for completeness
1376,Make ecision,2023-12-19 00:35:11.198,Manager-000006,distorted label(Skip),Make ecision,0,Make ecision,make ecision,Make decision,1,1,Make decision
1376,VENT 13 END,2023-12-19 01:08:43.156,,distorted label(Skip),VENT 13 END,0,VENT 13 END,vent 13 end,EVENT 13 END,1,1,EVENT 13 END
1378,make decision,2023-12-19 01:33:08.997,Manager-000001,distorted label(UpLow),make decision,0,make decision,make decision,Make decision,1,1,Make decision
1378,"Perfor, checks",2023-12-19 04:00:19.526,Clerk-000006,distorted label(Proximity),"Perfor, checks",0,"Perfor, checks",perfor checks,Perform checks,1,1,Perform checks
1410,request info,2023-12-20 03:35:47.077,Manager-000002,distorted label(UpLow),request info,0,request info,request info,Request info,1,1,Request info
1415,Chcek for completeness,2023-12-20 07:38:15.415,Clerk-000002,distorted label(Interchange),Chcek for completeness,0,Chcek for completeness,chcek for completeness,Check for completeness,1,1,Check for completeness
1415,info Ureceived,2023-12-20 08:56:33.378,,distorted label(Insert),info Ureceived,0,info Ureceived,info ureceived,info received,1,1,info received
1415,Check for completveness,2023-12-20 08:56:43.378,Clerk-000005,distorted label(Insert),Check for completveness,0,Check for completveness,check for completveness,Check for completeness,1,1,Check for completeness
1417,Deliver acrd,2023-12-20 11:03:40.753,Manager-000001,distorted label(Interchange),Deliver acrd,0,Deliver acrd,deliver acrd,Deliver card,1,1,Deliver card
1419,New online application recived,2023-12-20 17:21:51.829,,distorted label(Skip),New online application recived,0,New online application recived,new online application recived,New online application received,1,1,New online application received
1420,new online application received,2023-12-20 18:13:13.365,,distorted label(UpLow),new online application received,0,new online application received,new online application received,New online application received,1,1,New online application received
1421,Check for copmleteness,2023-12-20 18:31:27.892,Clerk-000003,distorted label(Interchange),Check for copmleteness,0,Check for copmleteness,check for copmleteness,Check for completeness,1,1,Check for completeness
1421,perform checks,2023-12-20 20:08:44.754,Clerk-000005,distorted label(UpLow),perform checks,0,perform checks,perform checks,Perform checks,1,1,Perform checks
1434,check for completeness,2023-12-21 09:07:35.276,Clerk-000006,distorted label(UpLow),check for completeness,0,check for completeness,check for completeness,Check for completeness,1,1,Check for completeness
1434,Make eecision,2023-12-21 09:35:40.012,Manager-000002,distorted label(Proximity),Make eecision,0,Make eecision,make eecision,Make decision,1,1,Make decision
1439,Xheck for completeness,2023-12-21 12:45:42.993,Clerk-000004,distorted label(Proximity),Xheck for completeness,0,Xheck for completeness,xheck for completeness,Check for completeness,1,1,Check for completeness
1439,New online ap;lication received,2023-12-21 12:45:42.993,,distorted label(Proximity),New online ap;lication received,0,New online ap;lication received,new online aplication received,New online application received,1,1,New online application received
1440,New onilne application received,2023-12-21 13:26:20.987,,distorted label(Interchange),New onilne application received,0,New onilne application received,new onilne application received,New online application received,1,1,New online application received
1445,Check for completeneKss,2023-12-22 01:11:42.463,Clerk-000006,distorted label(Insert),Check for completeneKss,0,Check for completeneKss,check for completenekss,Check for completeness,1,1,Check for completeness
1445,review rmequest received,2023-12-22 03:18:34.969,,distorted label(Insert),review rmequest received,0,review rmequest received,review rmequest received,review request received,1,1,review request received
1449,Revquest info,2023-12-22 03:05:37.903,Manager-000001,distorted label(Insert),Revquest info,0,Revquest info,revquest info,Request info,1,1,Request info
1449,info rwceived,2023-12-22 03:07:23.577,,distorted label(Proximity),info rwceived,0,info rwceived,info rwceived,info received,1,1,info received
1453,Perform checs,2023-12-22 10:23:28.963,Clerk-000006,distorted label(Skip),Perform checs,0,Perform checs,perform checs,Perform checks,1,1,Perform checks
1455,Check for Pcompleteness,2023-12-22 12:43:14.398,Clerk-000004,distorted label(Insert),Check for Pcompleteness,0,Check for Pcompleteness,check for pcompleteness,Check for completeness,1,1,Check for completeness
1458,request info,2023-12-22 14:35:06.976,Manager-000001,distorted label(UpLow),request info,0,request info,request info,Request info,1,1,Request info
1458,info eceived,2023-12-22 15:51:11.181,,distorted label(Skip),info eceived,0,info eceived,info eceived,info received,1,1,info received
1458,Check for completenesDs,2023-12-22 17:01:57.976,Clerk-000004,distorted label(Insert),Check for completenesDs,0,Check for completenesDs,check for completenesds,Check for completeness,1,1,Check for completeness
1470,Perform chceks,2023-12-22 20:12:38.266,Clerk-000004,distorted label(Interchange),Perform chceks,0,Perform chceks,perform chceks,Perform checks,1,1,Perform checks
1470,Perforh checks,2023-12-22 20:55:55.160,Clerk-000001,distorted label(Proximity),Perforh checks,0,Perforh checks,perforh checks,Perform checks,1,1,Perform checks
1486,Perform chrcks,2023-12-25 10:14:13.734,Clerk-000002,distorted label(Proximity),Perform chrcks,0,Perform chrcks,perform chrcks,Perform checks,1,1,Perform checks
1493,check for completeness,2023-12-25 16:36:15.742,Clerk-000002,distorted label(UpLow),check for completeness,0,check for completeness,check for completeness,Check for completeness,1,1,Check for completeness
1495,Pefrorm checks,2023-12-25 17:56:57.327,Clerk-000006,distorted label(Interchange),Pefrorm checks,0,Pefrorm checks,pefrorm checks,Pefrorm checks,0,1,Pefrorm checks
15,EVENZT 13 END,2023-09-29 17:39:33.547,,distorted label(Insert),EVENZT 13 END,0,EVENZT 13 END,evenzt 13 end,EVENT 13 END,1,1,EVENT 13 END
1501,info receVived,2023-12-26 06:22:10.203,,distorted label(Insert),info receVived,0,info receVived,info recevived,info received,1,1,info received
1501,Info received,2023-12-26 07:27:36.448,,distorted label(UpLow),Info received,0,Info received,info received,info received,1,1,info received
1501,time ou,2023-12-26 08:22:31.131,,distorted label(Skip),time ou,0,time ou,time ou,time out,1,1,time out
1503,make decision,2023-12-26 07:22:16.409,Manager-000002,distorted label(UpLow),make decision,0,make decision,make decision,Make decision,1,1,Make decision
156,Reqkest info,2023-10-09 06:17:48.760,Manager-000005,distorted label(Proximity),Reqkest info,0,Reqkest info,reqkest info,Reqkest info,0,1,Reqkest info
156,Delizver card,2023-10-09 07:31:06.938,Manager-000005,distorted label(Insert),Delizver card,0,Delizver card,delizver card,Deliver card,1,1,Deliver card
159,EVENT 13 ND,2023-10-09 12:29:37.058,,distorted label(Skip),EVENT 13 ND,0,EVENT 13 ND,event 13 nd,EVENT 13 END,1,1,EVENT 13 END
160,infor eceived,2023-10-09 13:44:24.816,,distorted label(Interchange),infor eceived,0,infor eceived,infor eceived,info received,1,1,info received
167,New online application rKeceived,2023-10-09 15:40:15.114,,distorted label(Insert),New online application rKeceived,0,New online application rKeceived,new online application rkeceived,New online application received,1,1,New online application received
167,Requset info,2023-10-09 16:07:42.424,Manager-000006,distorted label(Interchange),Requset info,0,Requset info,requset info,Request info,1,1,Request info
167,Info received,2023-10-09 16:08:32.067,,distorted label(UpLow),Info received,0,Info received,info received,info received,1,1,info received
170,Ndw online application received,2023-10-09 16:18:43.760,,distorted label(Proximity),Ndw online application received,0,Ndw online application received,ndw online application received,New online application received,1,1,New online application received
171,time ou,2023-10-09 18:04:36.812,,distorted label(Skip),time ou,0,time ou,time ou,time out,1,1,time out
178,Mwke decision,2023-10-10 01:08:06.130,Manager-000002,distorted label(Proximity),Mwke decision,0,Mwke decision,mwke decision,Make decision,1,1,Make decision
178,Perform cheUcks,2023-10-10 01:30:12.610,Clerk-000006,distorted label(Insert),Perform cheUcks,0,Perform cheUcks,perform cheucks,Perform checks,1,1,Perform checks
184,review request receiced,2023-10-10 03:52:32.882,,distorted label(Proximity),review request receiced,0,review request receiced,review request receiced,review request received,1,1,review request received
186,check for completeness,2023-10-10 05:11:13.518,Clerk-000006,distorted label(UpLow),check for completeness,0,check for completeness,check for completeness,Check for completeness,1,1,Check for completeness
186,EEVNT 13 END,2023-10-10 06:00:31.470,,distorted label(Interchange),EEVNT 13 END,0,EEVNT 13 END,eevnt 13 end,EVENT 13 END,1,1,EVENT 13 END
20,perform checks,2023-09-29 20:11:57.183,Clerk-000005,distorted label(UpLow),perform checks,0,perform checks,perform checks,Perform checks,1,1,Perform checks
212,ChDeck for completeness,2023-10-10 23:10:29.927,Clerk-000002,distorted label(Insert),ChDeck for completeness,0,ChDeck for completeness,chdeck for completeness,Check for completeness,1,1,Check for completeness
22,New online applictaion received,2023-09-29 21:09:37.104,,distorted label(Interchange),New online applictaion received,0,New online applictaion received,new online applictaion received,New online application received,1,1,New online application received
228,New online applikcation received,2023-10-11 13:29:37.116,,distorted label(Insert),New online applikcation received,0,New online applikcation received,new online applikcation received,New online application received,1,1,New online application received
240,Perofrm checks,2023-10-12 04:09:43.028,Clerk-000001,distorted label(Interchange),Perofrm checks,0,Perofrm checks,perofrm checks,Perform checks,1,1,Perform checks
244,Perform cmecks,2023-10-12 08:05:58.176,Clerk-000005,distorted label(Proximity),Perform cmecks,0,Perform cmecks,perform cmecks,Perform checks,1,1,Perform checks
244,Check for compelteness,2023-10-12 08:23:24.981,Clerk-000003,distorted label(Interchange),Check for compelteness,0,Check for compelteness,check for compelteness,Check for completeness,1,1,Check for completeness
248,Reuest info,2023-10-12 09:58:18.385,Manager-000003,distorted label(Skip),Reuest info,0,Reuest info,reuest info,Request info,1,1,Request info
248,Reques info,2023-10-12 10:13:18.430,Manager-000005,distorted label(Skip),Reques info,0,Reques info,reques info,Request info,1,1,Request info
254,Reques info,2023-10-12 17:29:18.025,Manager-000005,distorted label(Skip),Reques info,0,Reques info,reques info,Request info,1,1,Request info
254,eVENT 13 END,2023-10-12 17:55:46.714,,distorted label(UpLow),eVENT 13 END,0,eVENT 13 END,event 13 end,EVENT 13 END,1,1,EVENT 13 END
26,info recevied,2023-10-02 02:59:33.495,,distorted label(Interchange),info recevied,0,info recevied,info recevied,info received,1,1,info received
26,Check for clmpleteness,2023-10-02 03:04:52.705,Clerk-000006,distorted label(Proximity),Check for clmpleteness,0,Check for clmpleteness,check for clmpleteness,Check for completeness,1,1,Check for completeness
26,Request inf;,2023-10-02 03:13:27.857,Manager-000006,distorted label(Proximity),Request inf;,0,Request inf;,request inf,Request info,1,1,Request info
26,Request binfo,2023-10-02 04:18:16.134,Manager-000006,distorted label(Insert),Request binfo,0,Request binfo,request binfo,Request info,1,1,Request info
270,check for completeness,2023-10-13 03:37:50.777,Clerk-000005,distorted label(UpLow),check for completeness,0,check for completeness,check for completeness,Check for completeness,1,1,Check for completeness
273,Requet info,2023-10-13 07:02:00.103,Manager-000002,distorted label(Skip),Requet info,0,Requet info,requet info,Request info,1,1,Request info
276,Rqeuest info,2023-10-13 10:16:19.061,Manager-000006,distorted label(Interchange),Rqeuest info,0,Rqeuest info,rqeuest info,Request info,1,1,Request info
276,notify accept,2023-10-13 10:51:21.278,Manager-000005,distorted label(UpLow),notify accept,0,notify accept,notify accept,Notify accept,1,1,Notify accept
279,Check for compnleteness,2023-10-13 13:13:59.795,Clerk-000003,distorted label(Insert),Check for compnleteness,0,Check for compnleteness,check for compnleteness,Check for completeness,1,1,Check for completeness
280,New online applicatin received,2023-10-13 13:43:41.286,,distorted label(Skip),New online applicatin received,0,New online applicatin received,new online applicatin received,New online application received,1,1,New online application received
29,Notif yaccept,2023-10-02 05:51:12.013,Manager-000006,distorted label(Interchange),Notif yaccept,0,Notif yaccept,notif yaccept,Notif yaccept,0,1,Notif yaccept
297,deliver card,2023-10-16 10:42:53.880,Manager-000004,distorted label(UpLow),deliver card,0,deliver card,deliver card,Deliver card,1,1,Deliver card
298,VENT 13 END,2023-10-16 11:38:06.990,,distorted label(Skip),VENT 13 END,0,VENT 13 END,vent 13 end,EVENT 13 END,1,1,EVENT 13 END
303,EENT 13 END,2023-10-16 20:27:11.128,,distorted label(Skip),EENT 13 END,0,EENT 13 END,eent 13 end,EVENT 13 END,1,1,EVENT 13 END
304,NCheck for completeness,2023-10-16 20:11:09.057,Clerk-000002,distorted label(Insert),NCheck for completeness,0,NCheck for completeness,ncheck for completeness,Check for completeness,1,1,Check for completeness
307,Check for completness,2023-10-16 22:27:42.560,Clerk-000001,distorted label(Skip),Check for completness,0,Check for completness,check for completness,Check for completeness,1,1,Check for completeness
311,check for completeness,2023-10-17 04:15:26.152,Clerk-000005,distorted label(UpLow),check for completeness,0,check for completeness,check for completeness,Check for completeness,1,1,Check for completeness
311,Make dcision,2023-10-17 05:02:20.279,Manager-000003,distorted label(Skip),Make dcision,0,Make dcision,make dcision,Make decision,1,1,Make decision
320,request info,2023-10-17 11:06:29.388,Manager-000003,distorted label(UpLow),request info,0,request info,request info,Request info,1,1,Request info
321,NotQify accept,2023-10-17 13:09:57.492,Manager-000002,distorted label(Insert),NotQify accept,0,NotQify accept,notqify accept,Notify accept,1,1,Notify accept
322,New online appliation received,2023-10-17 11:56:01.124,,distorted label(Skip),New online appliation received,0,New online appliation received,new online appliation received,New online application received,1,1,New online application received
326,Check fo rcompleteness,2023-10-17 15:57:41.980,Clerk-000001,distorted label(Interchange),Check fo rcompleteness,0,Check fo rcompleteness,check fo rcompleteness,Check for completeness,1,1,Check for completeness
350,Check for completness,2023-10-18 16:14:38.255,Clerk-000004,distorted label(Skip),Check for completness,0,Check for completness,check for completness,Check for completeness,1,1,Check for completeness
352,New online application receivDed,2023-10-18 18:02:09.986,,distorted label(Insert),New online application receivDed,0,New online application receivDed,new online application receivded,New online application received,1,1,New online application received
36,check for completeness,2023-10-02 13:46:59.078,Clerk-000006,distorted label(UpLow),check for completeness,0,check for completeness,check for completeness,Check for completeness,1,1,Check for completeness
361,Perform cphecks,2023-10-19 04:51:57.810,Clerk-000002,distorted label(Insert),Perform cphecks,0,Perform cphecks,perform cphecks,Perform checks,1,1,Perform checks
362,make decision,2023-10-19 07:16:17.090,Manager-000002,distorted label(UpLow),make decision,0,make decision,make decision,Make decision,1,1,Make decision
